passenger;date_dep;date_arr;diff_dep;diff_arr;model;airport_dep;airport_arr;fare_condition;amount
68;2017/05/31 12:08:00.000;2017/05/31 12:58:00.000;00:03:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
13;2017/05/17 12:12:00.000;2017/05/17 13:01:00.000;00:07:00;00:49:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Business;18500,0
6;2017/05/17 12:12:00.000;2017/05/17 13:01:00.000;00:07:00;00:49:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
9;2017/05/17 12:12:00.000;2017/05/17 13:01:00.000;00:07:00;00:49:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Business;18500,0
2;2017/05/18 12:06:00.000;2017/05/18 12:56:00.000;00:01:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
16;2017/05/19 12:06:00.000;2017/05/19 12:57:00.000;00:01:00;00:51:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
25;2017/05/19 12:06:00.000;2017/05/19 12:57:00.000;00:01:00;00:51:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
14;2017/05/20 12:05:00.000;2017/05/20 12:55:00.000;00:00:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
19;2017/05/20 12:05:00.000;2017/05/20 12:55:00.000;00:00:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
21;2017/05/20 12:05:00.000;2017/05/20 12:55:00.000;00:00:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
12;2017/05/20 12:05:00.000;2017/05/20 12:55:00.000;00:00:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6800,0
29;2017/05/24 12:09:00.000;2017/05/24 12:58:00.000;00:04:00;00:49:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
11;2017/05/24 12:09:00.000;2017/05/24 12:58:00.000;00:04:00;00:49:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
14;2017/05/24 12:09:00.000;2017/05/24 12:58:00.000;00:04:00;00:49:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Business;18500,0
47;2017/05/26 12:08:00.000;2017/05/26 12:57:00.000;00:03:00;00:49:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
59;2017/05/26 12:08:00.000;2017/05/26 12:57:00.000;00:03:00;00:49:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
61;2017/05/28 15:09:00.000;2017/05/28 15:59:00.000;03:04:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
15;2017/05/28 15:09:00.000;2017/05/28 15:59:00.000;03:04:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
66;2017/05/29 12:06:00.000;2017/05/29 12:57:00.000;00:01:00;00:51:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
52;2017/05/29 12:06:00.000;2017/05/29 12:57:00.000;00:01:00;00:51:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
68;2017/05/31 12:08:00.000;2017/05/31 12:58:00.000;00:03:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
13;2017/05/17 12:12:00.000;2017/05/17 13:01:00.000;00:07:00;00:49:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Business;18500,0
6;2017/05/17 12:12:00.000;2017/05/17 13:01:00.000;00:07:00;00:49:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
9;2017/05/17 12:12:00.000;2017/05/17 13:01:00.000;00:07:00;00:49:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Business;18500,0
2;2017/05/18 12:06:00.000;2017/05/18 12:56:00.000;00:01:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
16;2017/05/19 12:06:00.000;2017/05/19 12:57:00.000;00:01:00;00:51:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
25;2017/05/19 12:06:00.000;2017/05/19 12:57:00.000;00:01:00;00:51:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
14;2017/05/20 12:05:00.000;2017/05/20 12:55:00.000;00:00:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
19;2017/05/20 12:05:00.000;2017/05/20 12:55:00.000;00:00:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
21;2017/05/20 12:05:00.000;2017/05/20 12:55:00.000;00:00:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
12;2017/05/20 12:05:00.000;2017/05/20 12:55:00.000;00:00:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6800,0
29;2017/05/24 12:09:00.000;2017/05/24 12:58:00.000;00:04:00;00:49:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
11;2017/05/24 12:09:00.000;2017/05/24 12:58:00.000;00:04:00;00:49:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
14;2017/05/24 12:09:00.000;2017/05/24 12:58:00.000;00:04:00;00:49:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Business;18500,0
47;2017/05/26 12:08:00.000;2017/05/26 12:57:00.000;00:03:00;00:49:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
59;2017/05/26 12:08:00.000;2017/05/26 12:57:00.000;00:03:00;00:49:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
61;2017/05/28 15:09:00.000;2017/05/28 15:59:00.000;03:04:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
15;2017/05/28 15:09:00.000;2017/05/28 15:59:00.000;03:04:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
66;2017/05/29 12:06:00.000;2017/05/29 12:57:00.000;00:01:00;00:51:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
52;2017/05/29 12:06:00.000;2017/05/29 12:57:00.000;00:01:00;00:51:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
68;2017/05/31 12:08:00.000;2017/05/31 12:58:00.000;00:03:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
33;2017/06/01 12:06:00.000;2017/06/01 12:56:00.000;00:01:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Business;18500,0
63;2017/06/01 12:06:00.000;2017/06/01 12:56:00.000;00:01:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
65;2017/06/04 12:07:00.000;2017/06/04 12:57:00.000;00:02:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
1;2017/06/04 12:07:00.000;2017/06/04 12:57:00.000;00:02:00;00:50:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
54;2017/06/11 12:08:00.000;2017/06/11 12:57:00.000;00:03:00;00:49:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
83;2017/06/13 12:08:00.000;2017/06/13 12:57:00.000;00:03:00;00:49:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
65;2017/06/13 12:08:00.000;2017/06/13 12:57:00.000;00:03:00;00:49:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
32;2017/06/13 12:08:00.000;2017/06/13 12:57:00.000;00:03:00;00:49:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Business;18500,0
82;2017/06/14 15:17:00.000;2017/06/14 16:06:00.000;03:12:00;00:49:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
17;2017/06/15 12:06:00.000;2017/06/15 12:55:00.000;00:01:00;00:49:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
14;2017/06/15 12:06:00.000;2017/06/15 12:55:00.000;00:01:00;00:49:00;Сухой Суперджет-100;Чебоксары;Шереметьево;Economy;6200,0
